Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
127,127,26-Aug,,NYM,"W,9-4",41,36,9,13,1,0,0,8,4,1,5,0,1,0,1,2,2,0,0.27,0.334,0.458,0.793,8,14,R,R.Gsellman(27)
128,128,Aug 27 (1),,NYM,"L,5-6",45,36,5,14,3,1,0,5,4,0,9,1,2,2,0,0,1,0,0.27,0.335,0.459,0.794,13,17,L,T.Milone(51)
129,129,Aug 27 (2),,NYM,"W,5-4",33,28,5,6,0,0,1,5,4,0,7,0,0,1,0,1,1,0,0.27,0.335,0.458,0.793,4,16,R,S.Lugo(50)
130,130,28-Aug,,MIA,"W,11-2",41,37,11,13,0,2,1,11,4,0,7,0,0,0,0,0,1,0,0.271,0.336,0.459,0.794,6,12,R,J.Urena(37)
131,131,29-Aug,,MIA,"W,8-3",38,32,8,12,5,0,0,7,6,1,8,0,0,0,0,3,0,0,0.272,0.337,0.459,0.796,6,15,R,V.Worley(24)
132,132,30-Aug,,MIA,"W,4-0",36,32,4,10,2,0,2,3,4,2,4,0,0,0,0,1,1,0,0.272,0.337,0.46,0.797,8,10,L,A.Conley(51)
133,133,31-Aug,@,MIL,"L,3-6",34,31,3,7,2,1,0,3,2,0,6,0,1,0,0,2,1,0,0.272,0.337,0.459,0.796,4,12,R,Z.Davies(59)
134,134,1-Sep,@,MIL,"L,0-1",34,29,0,3,0,0,0,0,4,0,17,1,0,0,0,1,2,0,0.27,0.336,0.457,0.793,7,12,R,J.Nelson(79)
135,135,2-Sep,@,MIL,"W,3-2",35,32,3,6,1,0,1,3,2,1,8,1,0,0,0,0,1,0,0.27,0.335,0.456,0.791,5,18,R,B.Woodruff(76)
136,136,3-Sep,@,MIL,"L,2-7",32,29,2,3,1,0,1,2,3,0,11,0,0,0,0,1,0,0,0.269,0.334,0.455,0.789,3,13,L,B.Suter(56)
137,137,4-Sep,@,MIA,"W,7-2",39,35,7,8,3,0,2,7,4,0,5,0,0,0,0,0,0,0,0.269,0.334,0.455,0.789,5,16,L,A.Conley(42)
138,138,5-Sep,@,MIA,"W,2-1",36,33,2,8,2,0,1,2,2,1,4,0,1,0,0,0,0,0,0.268,0.334,0.455,0.789,7,15,R,O.Despaigne(63)
139,139,6-Sep,@,MIA,"W,8-1",41,35,8,12,2,0,2,8,4,1,7,1,0,1,0,0,0,1,0.269,0.335,0.455,0.79,6,16,L,D.Peters(47)
140,140,7-Sep,,PHI,"W,4-3",36,33,4,10,2,0,0,4,3,1,11,0,0,0,1,2,2,0,0.269,0.335,0.455,0.79,8,15,R,A.Nola(50)
141,141,8-Sep,,PHI,"W,11-10",44,40,11,16,3,1,2,10,3,0,4,0,1,0,2,1,1,0,0.27,0.336,0.457,0.792,9,17,R,J.Thompson(27)
142,142,9-Sep,,PHI,"L,4-5",36,34,4,7,0,0,2,4,2,0,14,0,0,0,1,1,1,0,0.27,0.335,0.456,0.791,5,20,R,M.Leiter(51)
143,143,10-Sep,,PHI,"W,3-2",31,29,3,6,3,1,1,3,1,0,7,1,0,0,0,0,0,0,0.269,0.335,0.456,0.791,4,11,R,B.Lively(64)
144,144,12-Sep,,ATL,"L,0-8",35,33,0,9,1,0,0,0,2,0,6,0,0,0,0,1,0,1,0.269,0.334,0.455,0.79,8,17,R,J.Teheran(66)
145,145,13-Sep,,ATL,"L,2-8",32,32,2,7,2,0,0,2,0,0,12,0,0,0,0,1,1,1,0.269,0.334,0.454,0.788,3,13,L,L.Gohara(60)
146,146,14-Sep,,ATL,"W,5-2",33,30,5,8,2,1,0,5,2,0,5,1,0,0,0,2,0,0,0.269,0.334,0.454,0.788,4,14,R,M.Foltynewicz(44)
147,147,15-Sep,,LAD,"L,0-7",35,30,0,4,1,0,0,0,4,0,13,1,0,0,0,1,0,0,0.268,0.333,0.452,0.785,8,18,L,A.Wood(73)
148,148,16-Sep,,LAD,"L,2-3",33,31,2,5,0,0,1,2,2,0,9,0,0,0,0,1,0,0,0.268,0.333,0.451,0.784,4,17,L,R.Hill(66)
149,149,17-Sep,,LAD,"W,7-1",37,32,7,8,1,0,3,7,5,0,8,0,0,0,0,0,0,0,0.268,0.333,0.452,0.784,6,14,L,H.Ryu(61)
150,150,19-Sep,@,ATL,"W,4-2",40,37,4,11,6,0,0,4,2,0,6,0,1,0,0,0,2,0,0.268,0.333,0.452,0.784,9,13,L,L.Gohara(39)
151,151,20-Sep,@,ATL,"W,7-3",40,34,7,8,2,0,1,7,6,1,11,0,0,0,0,0,0,1,0.268,0.333,0.451,0.784,6,15,R,L.Sims(61)
152,152,21-Sep,@,ATL,"L,2-3",30,30,2,4,1,0,1,2,0,0,7,0,0,0,0,0,0,1,0.267,0.332,0.45,0.782,1,16,R,R.Dickey(70)
153,153,22-Sep,@,NYM,"L,6-7",41,35,6,6,1,2,1,6,4,1,7,2,0,0,2,0,0,0,0.266,0.332,0.45,0.781,8,16,R,R.Gsellman(38)
154,154,23-Sep,@,NYM,"W,4-3",44,38,4,10,2,0,3,4,6,0,8,0,0,0,0,2,0,0,0.266,0.332,0.451,0.782,10,17,R,N.Syndergaard(51)
155,155,24-Sep,@,NYM,"W,3-2",33,32,3,5,0,1,1,3,1,0,12,0,0,0,0,0,1,0,0.265,0.331,0.45,0.781,3,14,R,J.deGrom(63)
156,156,25-Sep,@,PHI,"W,3-1",37,35,3,8,1,0,1,3,2,0,13,0,0,0,0,0,2,0,0.265,0.331,0.449,0.78,7,15,R,A.Nola(61)
157,157,26-Sep,@,PHI,"L,1-4",33,30,1,4,1,0,1,1,2,0,14,1,0,0,0,1,0,0,0.264,0.33,0.448,0.778,5,15,R,J.Thompson(58)
158,158,27-Sep,@,PHI,"L,5-7",43,35,5,11,2,0,1,5,7,1,12,1,0,0,0,2,4,1,0.265,0.331,0.448,0.779,11,14,R,M.Leiter(29)
159,159,28-Sep,,PIT,"W,5-4",41,31,5,11,2,1,0,5,7,0,7,0,2,1,0,0,0,1,0.265,0.332,0.448,0.78,12,15,R,I.Nova(45)
160,160,29-Sep,,PIT,"W,6-1",34,32,6,12,2,0,3,6,2,0,10,0,0,0,0,1,1,0,0.266,0.332,0.45,0.782,4,14,R,G.Cole(46)
161,161,30-Sep,,PIT,"L,1-4",32,31,1,4,0,0,0,1,1,1,6,0,0,0,0,0,0,0,0.265,0.331,0.448,0.779,4,17,R,J.Taillon(69)
162,162,1-Oct,,PIT,"L,8-11",51,43,8,16,4,0,2,7,7,0,11,1,0,0,1,1,2,0,0.266,0.332,0.449,0.782,16,22,L,S.Brault(28)
