Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
36,36,12-May,@,COL,"W,6-2",37,33,6,9,4,1,1,6,4,0,9,0,0,0,0,1,0,1,0.263,0.344,0.425,0.769,4,14,R,T.Chatwood(33)
37,37,13-May,@,COL,"W,4-0",37,32,4,7,4,0,1,4,4,0,12,0,1,0,0,1,1,0,0.262,0.343,0.426,0.769,6,15,L,T.Anderson(53)
38,38,14-May,@,COL,"L,6-9",44,38,6,12,1,0,2,6,6,0,10,0,0,0,0,0,0,0,0.263,0.345,0.428,0.773,11,16,R,A.Senzatela(39)
39,39,15-May,@,SFG,"L,4-8",37,33,4,8,3,0,0,3,4,0,9,0,0,0,0,1,0,0,0.263,0.345,0.426,0.77,6,14,R,M.Cain(62)
40,40,16-May,@,SFG,"L,1-2",34,32,1,7,1,0,1,1,2,0,5,0,0,0,0,2,0,0,0.262,0.343,0.424,0.766,6,15,L,T.Blach(65)
41,41,17-May,@,SFG,"W,6-1",38,35,6,9,4,0,0,5,2,0,9,0,1,0,0,0,1,0,0.262,0.342,0.422,0.764,5,13,R,J.Cueto(41)
42,42,18-May,,MIA,"W,7-2",40,28,7,11,1,0,1,7,9,1,5,1,1,1,0,2,2,1,0.264,0.346,0.425,0.771,9,15,R,E.Volquez(37)
43,43,19-May,,MIA,"W,7-2",36,31,7,8,2,0,3,7,4,0,8,1,0,0,0,1,0,0,0.264,0.347,0.429,0.775,5,12,L,J.Nicolino(29)
44,44,20-May,,MIA,"L,6-10",38,34,6,7,2,0,3,5,4,0,10,0,0,0,0,0,0,0,0.263,0.345,0.431,0.776,5,17,R,D.Straily(54)
45,45,21-May,,MIA,"W,6-3",39,34,6,12,6,0,1,6,2,0,7,2,1,0,0,1,0,0,0.265,0.347,0.435,0.782,9,15,R,V.Worley(39)
46,46,23-May,,STL,"W,2-1",46,41,2,3,1,0,1,2,5,0,19,0,0,0,0,0,0,0,0.26,0.343,0.428,0.771,6,16,R,L.Lynn(82)
