Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
138,138,4-Sep,,TOR,"L,4-10",41,37,4,9,3,0,0,4,4,0,8,0,0,0,1,0,0,0,0.259,0.332,0.408,0.74,10,12,L,J.Happ(49)
139,139,5-Sep,,TOR,"W,3-2",68,63,3,11,3,0,0,3,5,0,12,0,0,0,0,2,1,0,0.258,0.331,0.406,0.737,11,16,R,M.Estrada(71)
140,140,6-Sep,,TOR,"W,6-1",38,32,6,9,1,1,1,5,5,0,5,1,0,0,1,2,4,0,0.258,0.331,0.406,0.738,8,11,R,J.Biagini(27)
141,141,8-Sep,,TBR,"W,9-3",39,36,9,12,3,0,1,7,3,0,10,0,0,0,1,1,0,0,0.259,0.332,0.407,0.739,6,10,R,C.Archer(17)
142,142,9-Sep,,TBR,"W,9-0",44,39,9,15,3,0,1,8,4,1,11,1,0,0,1,0,2,0,0.26,0.333,0.408,0.741,11,13,R,M.Andriese(13)
143,143,10-Sep,,TBR,"L,1-4",33,30,1,5,0,0,0,1,3,0,7,0,0,0,0,1,1,0,0.259,0.332,0.407,0.739,5,9,R,A.Cobb(57)
144,144,12-Sep,,OAK,"W,11-1",40,39,11,16,3,1,2,11,1,0,5,0,0,0,0,1,0,0,0.26,0.333,0.409,0.741,5,11,L,S.Manaea(15)
145,145,13-Sep,,OAK,"L,3-7",37,34,3,9,3,0,1,3,3,0,5,0,0,0,0,2,0,0,0.26,0.333,0.409,0.742,7,9,R,J.Cotton(44)
146,146,14-Sep,,OAK,"W,6-2",34,31,6,9,5,0,1,6,1,0,5,1,0,1,0,1,1,0,0.261,0.333,0.41,0.742,4,9,R,D.Gossett(48)
147,147,15-Sep,@,TBR,"W,13-6",74,67,13,21,3,0,1,11,5,2,13,2,0,0,3,0,0,1,0.261,0.333,0.41,0.743,16,15,R,M.Andriese(48)
148,148,16-Sep,@,TBR,"W,3-1",35,34,3,7,2,0,1,3,1,0,7,0,0,0,0,0,1,0,0.261,0.333,0.409,0.742,5,9,R,A.Cobb(49)
149,149,17-Sep,@,TBR,"L,2-3",31,29,2,3,0,0,1,2,2,0,8,0,0,0,0,1,0,0,0.26,0.332,0.408,0.74,2,10,R,J.Odorizzi(66)
150,150,18-Sep,@,BAL,"W,10-8",49,44,10,12,3,0,1,10,5,1,10,0,0,0,0,1,0,0,0.26,0.332,0.408,0.74,6,16,R,D.Bundy(26)
151,151,19-Sep,@,BAL,"W,1-0",40,37,1,6,1,0,0,0,3,0,7,0,0,0,0,2,0,0,0.259,0.331,0.407,0.738,6,11,R,K.Gausman(82)
152,152,20-Sep,@,BAL,"W,9-0",44,37,9,11,3,1,2,9,7,0,8,0,0,0,1,1,0,0,0.26,0.332,0.408,0.74,8,11,L,W.Miley(29)
153,153,22-Sep,@,CIN,"W,5-4",36,31,5,6,2,0,1,5,4,0,5,0,0,1,1,1,0,0,0.259,0.331,0.408,0.739,4,13,R,S.Romano(31)
154,154,23-Sep,@,CIN,"W,5-0",40,31,5,7,2,0,1,5,8,1,6,0,0,1,1,1,0,1,0.259,0.332,0.408,0.739,8,13,R,R.Stephenson(52)
155,155,24-Sep,@,CIN,"W,5-4",37,32,5,5,2,0,1,5,5,0,5,0,0,0,0,0,0,0,0.259,0.331,0.407,0.738,5,18,R,J.Stephens(65)
156,156,25-Sep,,TOR,"L,4-6",35,32,4,7,1,0,1,4,3,0,8,0,0,0,0,1,0,0,0.258,0.331,0.407,0.738,4,13,L,B.Anderson(43)
157,157,26-Sep,,TOR,"L,4-9",35,35,4,8,2,1,1,4,0,0,12,0,0,0,0,0,0,0,0.258,0.33,0.407,0.737,4,12,L,J.Happ(74)
158,158,27-Sep,,TOR,"W,10-7",38,37,10,13,2,0,3,9,1,0,7,0,0,0,0,0,1,0,0.259,0.331,0.408,0.739,4,10,R,M.Estrada(10)
159,159,28-Sep,,HOU,"L,2-12",37,34,2,6,0,0,1,2,3,0,5,0,0,0,1,0,0,0,0.258,0.33,0.408,0.738,8,14,R,B.Peacock(52)
160,160,29-Sep,,HOU,"L,2-3",34,31,2,5,4,0,0,2,3,1,9,0,0,0,0,0,1,0,0.258,0.33,0.407,0.736,5,11,R,C.Morton(56)
161,161,30-Sep,,HOU,"W,6-3",37,33,6,10,3,0,1,6,4,1,12,0,0,0,0,1,2,0,0.258,0.33,0.407,0.737,7,10,R,L.McCullers(35)
162,162,1-Oct,,HOU,"L,3-4",35,33,3,7,2,0,0,2,1,0,12,1,0,0,0,1,0,0,0.258,0.329,0.407,0.736,5,10,R,C.McHugh(57)
