Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
15,15,20-Apr,@,MIN,"W,6-2",44,37,6,11,5,0,0,6,7,1,7,0,0,0,0,1,1,0,0.258,0.339,0.416,0.755,11,11,R,E.Santana(62)
16,16,21-Apr,@,CHW,"W,3-0",34,29,3,6,1,0,1,2,4,0,11,0,1,0,0,1,0,2,0.255,0.337,0.412,0.749,4,10,L,J.Quintana(53)
17,17,22-Apr,@,CHW,"W,7-0",42,36,7,9,0,0,3,7,4,0,3,1,0,1,1,0,4,0,0.255,0.337,0.418,0.755,8,10,R,M.Pelfrey(43)
18,18,23-Apr,@,CHW,"L,2-6",37,31,2,6,2,0,1,1,5,0,11,1,0,0,0,2,0,0,0.252,0.336,0.415,0.751,8,12,L,D.Holland(65)
19,19,25-Apr,,HOU,"L,2-4",34,31,2,6,1,0,2,2,3,0,5,0,0,0,1,3,0,0,0.249,0.333,0.415,0.748,5,9,L,D.Keuchel(69)
20,20,26-Apr,,HOU,"W,7-6",37,30,7,10,4,0,0,7,5,0,10,0,1,1,0,2,0,0,0.253,0.337,0.417,0.754,6,9,R,L.McCullers(35)
21,21,27-Apr,,HOU,"W,4-3",34,30,4,8,1,0,3,4,4,0,9,0,0,0,1,1,1,1,0.254,0.337,0.425,0.762,6,9,R,M.Fiers(45)
22,22,28-Apr,,SEA,"L,1-3",34,32,1,4,1,0,1,1,2,0,14,0,0,0,1,0,0,0,0.248,0.331,0.417,0.748,6,10,L,A.Miranda(65)
23,23,29-Apr,,SEA,"W,4-3",33,30,4,6,1,0,0,4,3,0,7,0,0,0,1,1,0,0,0.246,0.329,0.41,0.739,5,9,R,Y.Gallardo(48)
24,24,30-Apr,,SEA,"W,12-4",41,37,12,15,3,1,2,12,3,0,4,0,0,1,1,1,1,1,0.253,0.334,0.424,0.757,5,11,R,C.De Jong(15)
25,25,1-May,@,DET,"L,1-7",37,33,1,7,1,0,0,1,4,0,12,0,0,0,0,1,0,0,0.252,0.332,0.416,0.749,9,10,L,D.Norris(62)
26,26,2-May,@,DET,"L,2-5",38,33,2,6,1,1,0,1,5,0,8,0,0,0,0,0,0,0,0.249,0.331,0.411,0.742,9,9,R,J.Verlander(62)
27,27,3-May,@,DET,"W,3-2",37,32,3,6,1,1,0,3,4,1,5,0,0,1,0,0,0,0,0.247,0.328,0.406,0.735,7,10,L,M.Boyd(58)
28,28,5-May,@,KCR,"L,1-3",32,30,1,4,2,0,1,1,2,0,9,0,0,0,0,0,0,1,0.243,0.324,0.403,0.727,4,10,R,J.Hammel(66)
29,29,6-May,@,KCR,"W,3-1",39,35,3,9,0,0,2,3,3,0,11,1,0,0,0,0,0,1,0.244,0.325,0.404,0.728,9,10,L,J.Vargas(68)
30,30,7-May,@,KCR,"W,1-0",35,31,1,7,3,0,0,1,2,0,4,0,2,0,0,1,0,0,0.243,0.323,0.401,0.724,7,10,L,D.Duffy(58)
31,31,8-May,@,TOR,"L,2-4",35,32,2,8,2,0,0,1,3,0,5,0,0,0,0,3,0,0,0.243,0.323,0.399,0.721,6,9,R,M.Stroman(59)
32,32,9-May,@,TOR,"W,6-0",40,33,6,7,3,0,1,6,6,0,8,1,0,0,0,1,0,0,0.242,0.324,0.398,0.722,7,11,R,M.Bolsinger(55)
